wall_time_utc,AvgActC,Avg_EClk,Bus_Clk,C0_C0res,C0_C1res,C0_C6res,C0_Clk,C0_P,C0_R,C0_T,C0_T0_EClk,C0_T0_U,C0_T0_Util,C0_T1_EClk,C0_T1_U,C0_T1_Util,C0_VID,C1_C0res,C1_C1res,C1_C6res,C1_Clk,C1_P,C1_R,C1_T,C1_T0_EClk,C1_T0_U,C1_T0_Util,C1_T1_EClk,C1_T1_U,C1_T1_Util,C1_VID,C2_C0res,C2_C1res,C2_C6res,C2_Clk,C2_P,C2_R,C2_T,C2_T0_EClk,C2_T0_U,C2_T0_Util,C2_T1_EClk,C2_T1_U,C2_T1_Util,C2_VID,C3_C0res,C3_C1res,C3_C6res,C3_Clk,C3_P,C3_R,C3_T,C3_T0_EClk,C3_T0_U,C3_T0_Util,C3_T1_EClk,C3_T1_U,C3_T1_Util,C3_VID,C4_C0res,C4_C1res,C4_C6res,C4_Clk,C4_P,C4_R,C4_T,C4_T0_EClk,C4_T0_U,C4_T0_Util,C4_T1_EClk,C4_T1_U,C4_T1_Util,C4_VID,C5_C0res,C5_C1res,C5_C6res,C5_Clk,C5_P,C5_R,C5_T,C5_T0_EClk,C5_T0_U,C5_T0_Util,C5_T1_EClk,C5_T1_U,C5_T1_Util,C5_VID,C6_C0res,C6_C1res,C6_C6res,C6_Clk,C6_P,C6_R,C6_T,C6_T0_EClk,C6_T0_U,C6_T0_Util,C6_T1_EClk,C6_T1_U,C6_T1_Util,C6_VID,C7_C0res,C7_C1res,C7_C6res,C7_Clk,C7_P,C7_R,C7_T,C7_T0_EClk,C7_T0_U,C7_T0_Util,C7_T1_EClk,C7_T1_U,C7_T1_Util,C7_VID,CCD1_Tdie,CPU_Core_I,CPU_Core_P,CPU_DieAvg,CPU_EDC,CPU_MISC_I,CPU_PPT,CPU_Pkg_P,CPU_SoC_I,CPU_SoC_P,CPU_TDC,CPU_Tctl,CPU_Tot_P,CPU_U,CPU_Util,DRAM_R_BW,DRAM_W_BW,EDC_Lim,FCLK,Freq_GLim,HTC_TT,IOD_Avg,IOD_Hot,L3_Clk,L3_T,MaxThr_U,PPT_F_Lim,PPT_Lim,PROCHOT_CPU,PROCHOT_EXT,Pkg_C6,TDC_Lim,T_Lim,UCLK,VDDCR_SOC_TVRM,VDDCR_SOC_V,VDDCR_VDD_TVRM,VDDCR_VDD_V,VDD_MISC_TVRM,VDD_MISC_V,coolant_c
2026-06-27T07:54:18.162213+00:00,0.728011,268.328,107,8.381,91.62,0,5863.6,1.9639,54.8,2.03265,481.624,7.692,8.659,26.8385,0,0.4915,1.385,37.67,62.33,0,5863.6,3.2761,54.8,2.92323,377.846,6.154,7.172,1846.88,31.25,36.29,1.375,1.906,21.02,77.07,4993.22,0.43589,46.6656,0.306954,81.0209,0,1.489,22.2219,0,0.4071,1.375,17.78,82.22,0,4993.22,2.6231,46.6656,2.39058,306.205,6.25,5.682,742.523,7.812,14.36,1.375,1.079,11.94,86.98,4993.22,0.27035,46.6656,0,49.2478,0,0.8984,8.97046,0,0.1492,1.375,3.698,54.12,42.18,4993.22,1.0746,46.6656,0,189.453,3.125,3.486,26.582,0,0.4911,1.375,1.176,33.48,65.34,5863.6,0.55009,54.8,0,52.2743,0,0.9452,12.6884,0,0.1984,1.375,1.107,95.09,3.802,5863.6,1.3447,54.8,0,42.7918,0,0.6953,26.088,0,0.3476,1.375,16.875,11.228,15.405,14.1911,67.5,5.0832,39.171,39.008,9.1872,10.985,11.197,17.125,31.982,3.893,5.111,0.480405,0.157963,6.75,2200,5480.43,0,7.91026,13.75,5818.24,1.97333,31.25,3.917,3.917,0,0,0,4.765,14.94,3200,36.659,1.196,38,1.359,46,1.1,-2.4375
2026-06-27T07:54:19.164241+00:00,0.825585,304.813,107,11.65,88.35,0,5863.6,2.2403,54.8,2.61926,673.182,15.62,12.19,55.8738,1.562,1.051,1.38,39.08,60.91,0.007565,5863.6,3.4399,54.8,3.57298,324.331,12.5,6.181,1981.2,31.25,38.96,1.38,3.598,30.45,65.96,4993.22,0.7288,46.6656,0.933258,175.664,1.562,3.294,24.5147,0,0.4511,1.38,18.16,81.84,0,4993.22,2.8965,46.6656,3.18413,486.475,13.85,9.215,576.945,7.812,11.07,1.38,1.739,20.08,78.19,4993.22,0.42698,46.6656,0.126871,82.8515,1.562,1.518,11.8147,0,0.2036,1.38,5.75,40.92,53.33,4993.22,1.0683,46.6656,0,302.869,9.375,5.708,21.523,0,0.3879,1.38,1.475,89.51,9.017,5863.6,1.3603,54.8,0.875,69.4322,0,1.167,20.5259,0,0.2925,1.38,1.108,75.01,23.88,4993.22,1.1551,46.6656,0,41.2189,0,0.6786,28.5939,0,0.4118,1.38,12.125,12.389,17.018,14.3156,57,5.1915,41.293,41.442,9.4194,11.261,12.442,17.125,33.989,5.944,5.799,0.464821,0.186255,5.7,2200,5480.43,0,8.16667,14,5813.09,2.19087,31.25,4.129,4.129,0,0,0,5.295,15.07,3200,36.6507,1.195,38,1.36,46,1.1,-2.4375
2026-06-27T07:54:20.160215+00:00,0.729984,272.318,107,7.863,91.74,0.3919,5863.6,1.9371,54.8,1.97387,452.984,6.349,8.169,35.1348,0,0.5829,1.375,38.66,59.17,2.167,5863.6,3.24,54.8,2.93869,233.867,3.175,4.385,2053.97,37.5,40.44,1.375,2.066,27.92,70.01,4993.22,0.54503,46.6656,0.434673,90.4831,0,1.588,27.0401,0,0.4324,1.375,17.18,79.29,3.522,4993.22,2.5831,46.6656,2.36558,680.231,14.29,13.17,350.484,4.688,6.609,1.375,1.527,15.51,82.96,4993.22,0.34442,46.6656,0,68.162,3.125,1.195,21.2391,0,0.3254,1.375,3.271,42.17,54.56,4993.22,0.86486,46.6656,0,167.735,1.562,3.058,18.0071,0,0.2412,1.375,1.552,89.48,8.967,4993.22,1.3526,46.6656,0.738442,70.0921,0,1.153,32.237,0,0.3886,1.375,0.8699,36.51,62.62,4993.22,0.57357,46.6656,0,27.6303,0,0.4004,27.7931,0,0.3832,1.375,13.125,11.619,15.973,14.0739,77.5,5.2401,40.327,40.359,9.504,11.361,11.615,16.75,33.098,4.418,5.157,0.497934,0.159528,7.75,2200,5480.43,0,8.11538,14,5819.53,1.94121,37.5,4.033,4.033,0,0,0,4.942,14.81,3200,36.7367,1.195,37.995,1.362,46.005,1.1,-2.4375
2026-06-27T07:54:21.160584+00:00,0.62892,234.038,107,7.149,90.56,2.294,5863.6,1.8387,54.8,1.79283,405.788,9.375,7.441,28.1211,1.562,0.5224,1.375,21.5,72.07,6.424,5002.25,2.4419,46.75,1.83229,393.82,12.5,7.509,888.274,14.06,17.32,1.375,1.481,20.65,77.87,5002.25,0.43147,46.75,0.218282,71.7009,0,1.332,11.6011,0,0.1973,1.375,26.71,71.84,1.455,5002.25,2.711,46.75,1.92308,191.205,4.688,3.545,1400.76,28.12,27.43,1.375,1.147,14.48,84.38,5002.25,0.30347,46.75,0,49.7329,1.562,0.9223,13.8285,0,0.2482,1.375,2.911,25.73,71.36,5002.25,0.61527,46.75,0,140.728,3.125,2.639,23.505,1.562,0.4312,1.375,1.066,44.63,54.3,5002.25,0.72083,46.75,0,49.5447,0,0.8817,14.6217,0,0.2231,1.375,0.9287,80.22,18.85,5002.25,1.1295,46.75,0,38.1501,0,0.5777,23.2335,0,0.3344,1.375,11.125,10.535,14.469,13.8562,62.5,5.0832,38.269,38.281,9.1963,10.996,10.527,16.375,31.057,4.785,4.472,0.336984,0.144728,6.25,2200,5480.43,0,7.96154,13.75,5814.99,1.76848,28.12,3.827,3.827,0,0,0,4.48,14.59,3200,36.6913,1.196,38,1.36,46.02,1.1,-2.375
2026-06-27T07:54:22.162316+00:00,0.610344,225.913,107,6.28,92.84,0.8841,4993.22,1.7379,46.6656,1.50412,356.11,6.154,6.495,24.388,0,0.45,1.375,15.21,82.77,2.018,5863.6,2.2534,54.8,1.60641,327.175,4.688,6.248,569.647,13.85,11.06,1.37,1.338,16.63,82.03,4993.22,0.33387,46.6656,0,62.5448,0,1.143,12.2439,0,0.2105,1.37,32.89,65.63,1.475,4993.22,2.806,46.6656,1.71819,129.842,1.562,2.387,1826.42,29.69,35.94,1.37,0.9692,9.651,89.38,4993.22,0.20458,46.6656,0,40.5728,0,0.7522,12.611,0,0.2216,1.37,2.345,25.74,71.92,4993.22,0.50163,46.6656,0,113.79,1.562,2.119,15.775,0,0.2756,1.37,0.8939,25.28,73.83,4993.22,0.40523,46.6656,0,34.3877,0,0.6172,16.1105,0,0.2775,1.37,1.109,94.87,4.017,4993.22,1.3026,46.6656,0,49.3824,0,0.7538,23.6076,0,0.3321,1.37,18.875,10.1,13.85,13.8625,64,5.0692,37.62,37.651,9.1697,10.964,10.112,16,30.39,3.594,4.33,0.236612,0.102269,6.4,2200,5480.43,0,7.9359,14,5814.31,1.64197,29.69,3.762,3.762,0,0,0,4.303,14.59,3200,36.6028,1.196,38,1.358,46.01,1.1,-2.4375
2026-06-27T07:54:23.165297+00:00,0.70768,260.86,107,7.46,92.51,0.0311,4993.22,1.8746,46.6656,1.73391,428.379,14.06,7.725,34.6207,0,0.6541,1.375,21.29,76.76,1.957,5863.6,3.0459,54.8,3.15631,905.692,18.46,17.64,346.447,6.25,6.649,1.365,1.717,19.05,79.23,4993.22,0.40339,46.6656,0.0910679,84.5822,3.125,1.56,10.553,0,0.1804,1.365,34.01,65.99,0,5863.6,2.9317,54.8,2.1759,1772.32,33.85,34.8,228.907,1.538,4.323,1.365,1.468,11.06,87.47,4993.22,0.27176,46.6656,0,62.4969,1.562,1.172,18.8222,0,0.3466,1.365,2.826,37.76,59.41,4993.22,0.75112,46.6656,0,141.128,3.125,2.609,15.6776,0,0.2775,1.365,1.317,87.22,11.46,4993.22,1.3122,46.6656,0.548029,53.8329,0,0.9043,31.1412,0,0.4185,1.365,0.6822,30.9,68.42,5863.6,0.46822,54.8,0,24.9822,0,0.4347,14.1823,0,0.2183,1.365,12.125,11.465,15.762,14.1435,69,5.0748,39.551,39.544,9.1826,10.98,11.462,16.125,32.324,5.123,4.995,0.453258,0.154538,6.9,2200,5480.43,0,7.94231,13.75,5825.69,1.87126,33.85,3.955,3.955,0,0,0,4.877,14.89,3200,36.6138,1.196,38,1.363,46.01,1.1,-2.375
2026-06-27T07:54:24.167277+00:00,0.619143,229.459,107,5.959,91.78,2.265,5863.6,1.733,54.8,1.47196,338.43,4.688,6.111,30.526,0,0.5685,1.365,11.29,87.25,1.455,5863.6,2.3112,54.8,1.74227,464.378,10.94,8.958,205.937,3.125,3.921,1.375,1.557,35.78,62.66,4993.22,0.63556,46.6656,0.20177,80.427,0,1.46,14.6481,0,0.2619,1.375,37.41,61.56,1.026,5863.6,3.0387,54.8,1.96211,93.5357,0,1.705,2119.08,34.38,41.75,1.375,1.172,9.539,89.29,4993.22,0.22087,46.6656,0,52.5839,1.538,0.9837,12.4574,0,0.2207,1.375,2.638,18.56,78.8,4993.22,0.44026,46.6656,0,126.281,3.077,2.394,21.8793,0,0.4001,1.375,1.082,42.48,56.44,4993.22,0.6562,46.6656,0,50.6198,1.538,0.9143,11.5216,0,0.1587,1.375,0.7982,64.82,34.39,4993.22,0.9057,46.6656,0,29.2755,0,0.4718,19.7593,1.562,0.283,1.375,11.625,10.27,14.099,14.1427,71,5.0665,37.834,37.736,9.1717,10.966,10.256,16.125,30.638,3.803,4.41,0.277281,0.0914002,7.1,2200,5480.43,0,7.88462,13.75,5842.09,1.624,34.38,3.783,3.783,0,0,0,4.364,14.89,3200,36.6391,1.196,38,1.365,46.01,1.1,-2.375
2026-06-27T07:54:25.161361+00:00,0.643786,240.591,107,5.976,94.02,0,5863.6,1.7545,54.8,1.43423,338.518,3.125,6.052,29.3264,0,0.4561,1.375,15.63,84.37,0,5863.6,2.6833,54.8,2.54502,646.853,7.812,12.39,291.215,1.587,5.564,1.375,1.579,13.15,85.28,4993.22,0.28225,46.6656,0,69.2105,1.587,1.216,22.4356,0,0.3424,1.375,35.6,64.4,0,5863.6,2.9715,54.8,2.08136,1853.11,30.16,36.4,258.566,1.587,4.828,1.375,1.248,11.26,87.49,4993.22,0.24345,46.6656,0,38.2267,0,0.6251,35.1291,0,0.5985,1.375,2.106,28.81,69.08,4993.22,0.54295,46.6656,0,97.6466,0,1.731,27.7217,0,0.4324,1.375,1.092,32.17,66.73,4993.22,0.50774,46.6656,0,46.2753,0,0.7735,18.245,0,0.2346,1.375,1.153,78.57,20.28,5863.6,1.1234,54.8,0,40.3741,0,0.549,36.6145,0,0.5076,1.375,11.625,10.875,14.921,14.154,65.5,5.0719,38.778,38.873,9.2329,11.039,10.887,16.125,31.539,2.866,4.544,0.348978,0.124613,6.55,2200,5480.43,0,8.12179,14,5837.65,1.69706,30.16,3.878,3.878,0,0,0,4.633,14.9,3200,36.669,1.196,37.995,1.363,46.0352,1.1,-2.375
2026-06-27T07:54:26.167469+00:00,0.949686,392.151,107,12.11,87.89,0,5863.6,2.3551,54.8,2.80107,698.806,14.06,11.62,143.794,1.538,2.802,1.375,30.09,69.91,0,4993.22,3.6205,46.6656,4.18837,1614.18,28.12,31.67,374.01,6.154,7.214,1.38,6.102,20.01,73.89,4993.22,0.92679,46.6656,1.31859,328.048,4.615,6.375,95.0024,1.538,1.848,1.38,25.54,74.46,0,5863.6,2.7068,54.8,2.52025,1193.59,18.46,23.38,416.071,6.154,8.007,1.38,5.652,13.62,80.73,4993.22,0.7391,46.6656,0.644881,302.441,3.077,5.909,51.3245,0,0.9832,1.38,7.79,30.68,61.53,4993.22,1.2052,46.6656,0.0139165,411.433,6.154,7.991,122.895,0,2.397,1.38,4.761,84.81,10.43,4993.22,1.6265,46.6656,1.2797,246.896,1.538,4.72,57.3989,0,0.9817,1.38,2.918,31.7,65.38,4993.22,0.76334,46.6656,0,120.061,1.562,2.31,98.4708,1.538,1.877,1.38,13.125,14.48,19.836,14.8327,74.5,5.0771,43.768,43.663,9.2739,11.088,14.47,17,36.508,5.907,7.505,1.04732,0.283444,7.45,2200,5480.43,0,8.03205,14.25,5820.63,2.0917,28.12,4.377,4.377,0,0,0,6.158,15.61,3200,36.6213,1.196,37.995,1.362,46.0248,1.1,-2.375
2026-06-27T07:54:27.164322+00:00,0.659627,243.534,107,7.163,92.84,0,5863.6,1.8826,54.8,1.6373,408.104,15.62,7.553,18.8,0,0.3362,1.145,35.61,64.36,0.02798,5863.6,3.1095,54.8,2.5182,372.711,12.5,7.135,1734.94,28.57,34.1,1.375,1.57,15.63,82.81,4993.22,0.33578,46.6656,0,72.0994,4.762,1.334,18.1856,0,0.3302,1.375,16.02,83.98,0,5863.6,2.5123,54.8,1.89972,216.418,6.349,3.978,736.461,14.06,14.3,1.375,1.051,11.53,87.42,4993.22,0.24392,46.6656,0,39.0607,4.762,0.7096,18.4165,1.587,0.3359,1.375,2.579,31.15,66.28,4993.22,0.63537,46.6656,0,128.892,11.11,2.39,13.9823,0,0.241,1.375,1.175,64.79,34.03,5863.6,1.0039,54.8,0.0148092,58.0966,6.25,1.043,13.5754,0,0.191,1.375,0.8016,53.41,45.79,4993.22,0.7727,46.6656,0,26.2299,3.125,0.4133,20.5644,0,0.2889,1.375,13.125,11.396,15.663,14.073,58,5.0782,39.476,39.404,9.2126,11.015,11.389,16.625,32.264,6.794,4.667,0.324969,0.154396,5.8,2200,5480.43,0,8.35897,14,5834.33,1.7052,28.57,3.948,3.948,0,0,0,4.846,14.81,3200,36.6275,1.196,38,1.364,46.0301,1.1,-2.4375
