wall_time_utc,AvgActC,Avg_EClk,Bus_Clk,C0_C0res,C0_C1res,C0_C6res,C0_Clk,C0_P,C0_R,C0_T,C0_T0_EClk,C0_T0_U,C0_T0_Util,C0_T1_EClk,C0_T1_U,C0_T1_Util,C0_VID,C1_C0res,C1_C1res,C1_C6res,C1_Clk,C1_P,C1_R,C1_T,C1_T0_EClk,C1_T0_U,C1_T0_Util,C1_T1_EClk,C1_T1_U,C1_T1_Util,C1_VID,C2_C0res,C2_C1res,C2_C6res,C2_Clk,C2_P,C2_R,C2_T,C2_T0_EClk,C2_T0_U,C2_T0_Util,C2_T1_EClk,C2_T1_U,C2_T1_Util,C2_VID,C3_C0res,C3_C1res,C3_C6res,C3_Clk,C3_P,C3_R,C3_T,C3_T0_EClk,C3_T0_U,C3_T0_Util,C3_T1_EClk,C3_T1_U,C3_T1_Util,C3_VID,C4_C0res,C4_C1res,C4_C6res,C4_Clk,C4_P,C4_R,C4_T,C4_T0_EClk,C4_T0_U,C4_T0_Util,C4_T1_EClk,C4_T1_U,C4_T1_Util,C4_VID,C5_C0res,C5_C1res,C5_C6res,C5_Clk,C5_P,C5_R,C5_T,C5_T0_EClk,C5_T0_U,C5_T0_Util,C5_T1_EClk,C5_T1_U,C5_T1_Util,C5_VID,C6_C0res,C6_C1res,C6_C6res,C6_Clk,C6_P,C6_R,C6_T,C6_T0_EClk,C6_T0_U,C6_T0_Util,C6_T1_EClk,C6_T1_U,C6_T1_Util,C6_VID,C7_C0res,C7_C1res,C7_C6res,C7_Clk,C7_P,C7_R,C7_T,C7_T0_EClk,C7_T0_U,C7_T0_Util,C7_T1_EClk,C7_T1_U,C7_T1_Util,C7_VID,CCD1_Tdie,CPU_Core_I,CPU_Core_P,CPU_DieAvg,CPU_EDC,CPU_MISC_I,CPU_PPT,CPU_Pkg_P,CPU_SoC_I,CPU_SoC_P,CPU_TDC,CPU_Tctl,CPU_Tot_P,CPU_U,CPU_Util,DRAM_R_BW,DRAM_W_BW,EDC_Lim,FCLK,Freq_GLim,HTC_TT,IOD_Avg,IOD_Hot,L3_Clk,L3_T,MaxThr_U,PPT_F_Lim,PPT_Lim,PROCHOT_CPU,PROCHOT_EXT,Pkg_C6,TDC_Lim,T_Lim,UCLK,VDDCR_SOC_TVRM,VDDCR_SOC_V,VDDCR_VDD_TVRM,VDDCR_VDD_V,VDD_MISC_TVRM,VDD_MISC_V,coolant_c
2026-09-11T04:09:33.588440+00:00,0.957853,360.768,108,15.07,84.93,0,5918.4,2.9271,54.8,5.60271,893.517,11.01,14.21,131.56,2.344,2.483,1.393,46.77,46.72,6.512,5918.4,4.8116,54.8,8.036,2599.66,40.62,50.32,162.904,2.344,2.912,1.395,1.503,22.9,75.59,5039.89,0.56872,46.6656,2.82389,76.0084,0,1.334,6.57949,0,0.1067,1.395,26.88,62.36,10.76,5479.14,4.047,50.7328,7.17296,462.77,3.906,8.651,1114.22,17.2,21.07,1.395,0.5778,7.94,91.48,5039.89,0.22183,46.6656,1.73062,26.9729,0,0.4606,4.93602,0,0.0765,1.395,3.659,57.85,38.49,5039.89,1.3587,46.6656,2.14498,197.084,2.344,3.478,6.97275,0,0.1142,1.395,0.9608,99.04,0,5918.4,1.7862,54.8,2.62176,44.6572,0,0.6696,20.1917,0,0.223,1.395,0.3611,58.4,41.24,5479.14,1.0488,50.7328,0.707121,9.99982,0,0.1216,14.2542,0,0.1808,1.395,14.3125,15.137,21.061,16.9875,55.5,5.0926,45.118,45.124,9.3949,11.23,15.133,21.8125,37.893,4.986,6.651,0.311001,0.299343,5.55,2200,5564.39,0,9.9391,16.5,5934.59,5.11176,40.62,4.512,4.512,0,0,0,6.44,17.88,3200,37.1505,1.195,40.4897,1.392,52,1.1,-0.6875
2026-09-11T04:09:34.355627+00:00,1.29168,493.594,108,23.05,76.95,0,5886,3.6612,54.5,7.48237,1362.44,13.85,24.89,92.8207,0,1.546,1.37,39.09,54.91,6.001,5886,4.628,54.5,8.43245,683.974,9.231,12.82,1673.77,26.15,32.33,1.385,7.894,33.22,58.88,5886,1.4629,54.5,4.86489,443.206,9.231,8.111,25.938,0,0.3152,1.385,37.47,48.19,14.34,5886,4.4914,54.5,8.27983,805.864,10.77,15.23,1482.39,23.08,28.59,1.385,4.381,28.44,67.18,5886,1.0045,54.5,3.42628,246.29,4.615,4.367,20.1067,0,0.1958,1.385,12.7,40.36,46.94,5886,2.0813,54.5,3.83037,730.691,7.692,13.63,22.1275,0,0.229,1.385,3.25,96.75,0,5886,2.0347,54.5,3.50592,169.755,1.538,2.829,42.9359,0,0.4509,1.385,1.331,51.83,46.84,5886,1.1075,54.5,0.767752,52.4718,0,0.656,42.7163,0,0.5835,1.385,19.75,18.313,25.406,17.7982,71,5.1011,49.351,48.769,9.3915,11.226,18.199,21.75,42.243,6.635,9.172,0.866417,0.297497,7.1,2200,5619.97,0,10.2564,16.5,5926.6,5.68898,26.15,4.935,4.935,0,0,0,7.744,18.73,3200,37.2179,1.195,40.498,1.391,52,1.1,-0.6875
2026-09-11T04:09:35.379640+00:00,2.69558,1304.35,108,39.49,60.51,0,5918.4,4.9555,54.8,11.4203,2337.86,34.38,42.77,786.588,9.375,15.28,1.395,56.24,37.2,6.564,5918.4,5.9646,54.8,12.5213,1617.47,21.88,31.47,2489.63,40.62,48.49,1.4,27.65,44.11,28.23,5039.89,3.4828,46.6656,10.0125,1519.78,21.88,29.44,664.199,10.94,12.97,1.4,53.75,35.05,11.2,5039.89,5.7075,46.6656,12.4638,1569.53,15.62,30.09,2341.94,35.94,45.41,1.4,24.25,46.27,29.48,5039.89,3.2005,46.6656,8.6756,1348.25,21.88,26.17,603.948,10.94,11.82,1.4,31.77,45.71,22.52,5039.89,3.8531,46.6656,8.37262,1785.86,21.88,34.38,650.749,9.375,12.72,1.4,20.43,79.57,0,5918.4,3.3578,54.8,7.16232,1123.35,14.06,21.62,584.259,7.812,11.38,1.4,15.99,70.86,13.15,5039.89,2.6862,46.6656,4.41771,735.382,7.812,14.22,710.747,12.5,13.77,1.4,13.125,27.812,38.403,19.4185,94.5,5.1211,62.83,63.406,9.4582,11.306,27.928,23.125,55.342,18.55,25.13,1.58988,0.540542,9.45,2200,5709.11,0,9.75,16.25,5901.1,7.66683,40.62,6.283,6.283,0,0,0,11.88,20.44,3200,37.3707,1.195,40.6493,1.386,52,1.1,-0.75
2026-09-11T04:09:36.397791+00:00,2.32178,1178.61,108,33.28,66.72,0,5913,4.5134,54.75,9.98757,1955.59,35.94,36.69,758.428,12.7,14.87,1.395,65.78,34.06,0.155,5035.29,7.1737,46.623,14.803,1117.07,15.62,21.79,3499.01,62.5,68.37,1.395,19.62,35.99,44.39,5035.29,2.3361,46.623,7.31225,1100.21,17.46,21.33,648.632,11.11,12.74,1.395,43.35,51.82,4.832,5035.29,5.694,46.623,12.6276,1568.26,25,30.59,1735.66,31.25,33.8,1.395,16.99,52.8,30.21,5035.29,2.3161,46.623,6.18035,948.432,12.7,18.47,644.398,12.7,12.67,1.395,24.2,38.5,37.3,5035.29,2.8366,46.623,6.47327,1327.14,21.88,25.56,727.638,12.7,14.3,1.395,15.3,84.7,0,5913,2.672,54.75,5.25063,857.514,14.06,16.7,619.107,9.375,12.12,1.395,13.65,62.02,24.33,5035.29,2.1094,46.623,3.09287,681.729,12.5,13.32,669.031,10.94,13.01,1.395,21.25,25.216,34.6,20.99,93.5,5.1167,58.818,58.738,9.4388,11.283,25.218,25.75,51.512,19.9,22.9,1.28292,0.559812,9.35,2200,5701.74,0,9.96795,16.75,5898.64,6.9301,62.5,5.882,5.882,0,0,0,10.73,22.09,3200,37.3624,1.195,40.6546,1.38,52,1.1,-0.75
2026-09-11T04:09:37.414670+00:00,1.7629,771.573,108,26.9,73.1,0,5907.6,4.1378,54.7,8.78979,1597.18,23.44,28.83,356.317,4.615,6.911,1.395,55.08,44.15,0.7702,5913,5.7683,54.75,11.0988,947.714,9.375,18.17,2640.03,42.19,51.41,1.395,13.34,38.01,48.65,5035.29,2.1127,46.623,6.48565,732.539,15.38,14.01,248.395,3.077,4.846,1.395,36.29,59.17,4.539,5035.29,5.1695,46.623,10.8482,1046.71,23.44,20.05,1421.68,26.56,27.53,1.395,10.83,34.8,54.36,5035.29,1.7767,46.623,5.14533,589.308,9.231,11.32,226.471,4.615,4.42,1.395,17.32,61.44,21.24,5035.29,2.9483,46.623,6.05165,969.741,15.62,18.54,282.125,4.615,5.499,1.395,9.625,90.37,0,5913,2.5649,54.75,4.74963,517.252,9.375,9.843,220.348,4.688,4.201,1.4,6.9,45.86,47.24,5035.29,1.4918,46.623,2.19973,263.259,3.125,4.993,286.089,6.25,5.48,1.4,16.5,22.612,31.376,18.3651,97,5.1121,55.582,55.677,9.4356,11.279,22.611,25.125,48.279,12.85,14.75,1.27078,0.585056,9.7,2200,5750,0,10.0192,16.5,5919.49,6.37363,42.19,5.558,5.558,0,0,0,9.622,19.33,3200,37.2944,1.195,40.5838,1.39,52,1.1,-0.75
2026-09-11T04:09:38.431926+00:00,1.64274,779.008,108,25.44,74.56,0,5918.4,4.0501,54.8,9.01198,1502.6,23.81,27.52,447.87,3.175,8.712,1.39,44.73,55.23,0.03886,5918.4,4.6811,54.8,8.8774,1199.37,15.87,22.93,1899.04,34.92,37,1.395,14.49,21.61,63.9,5039.89,1.9677,46.6656,6.70421,781.775,11.11,15.08,375.864,7.937,7.359,1.395,31.75,63.55,4.7,5039.89,4.609,46.6656,9.50429,1074.46,17.46,20.7,1196.99,14.29,23.13,1.395,11.45,19.46,69.09,5039.89,1.5685,46.6656,5.26123,628.414,11.11,12.09,338.978,3.175,6.671,1.395,17.16,30.2,52.64,5039.89,2.2999,46.6656,5.20547,949.438,12.7,18.19,394.22,4.762,7.728,1.395,10.61,70.94,18.45,5918.4,2.3737,54.8,4.91385,590.711,9.524,11.21,316.73,1.587,6.174,1.395,8.648,47.64,43.71,5039.89,1.7086,46.6656,2.55916,381.986,6.349,7.377,385.687,4.762,7.448,1.395,15,20.813,28.885,18.1557,113.5,5.1058,53.084,53.131,9.4354,11.279,20.818,24.25,45.78,11.41,14.96,1.23645,0.459482,11.35,2200,5700.72,0,10.0385,16.75,5920.66,6.36226,34.92,5.308,5.308,0,0,0,8.859,19.11,3200,37.3078,1.195,40.556,1.392,52,1.1,-0.75
2026-09-11T04:09:39.448581+00:00,1.58657,599.825,108,27.39,72.61,0,5902.2,4.2651,54.65,8.66159,1621.47,15.62,27.76,179.079,1.562,3.255,1.395,67.39,32.61,0,5907.6,7.0063,54.7,13.1467,2127.07,20.31,40.74,1889.84,32.81,36.73,1.395,4.364,59.59,36.05,5030.69,1.5466,46.5805,5.01936,229.951,4.688,4.172,15.5961,0,0.2616,1.395,45.37,54.23,0.3958,5907.6,6.2238,54.7,12.1392,1249.59,15.62,23.77,1459.14,26.56,27.77,1.395,1.985,27.27,70.74,5030.69,0.7159,46.5805,3.10752,102.632,0,1.865,7.56421,0,0.1077,1.395,10.01,72.94,17.05,5030.69,2.3804,46.5805,4.6481,556.247,7.812,10.25,20.492,0,0.3614,1.395,1.46,98.54,0,5907.6,1.9846,54.7,3.41533,84.4357,0,1.313,12.9012,0,0.1496,1.395,0.6881,34.81,64.5,5030.69,0.69696,46.5805,0.371878,20.807,0,0.2951,20.3797,0,0.3396,1.395,18.875,20.712,28.753,18.4343,71,5.214,53.183,52.886,9.5749,11.445,20.692,24.125,45.933,7.812,11.2,0.914679,0.728531,7.1,2200,5688.13,0,10.1346,16.5,5925.78,6.48501,32.81,5.318,5.318,0,0,0,8.805,19.4,3200,37.4096,1.195,40.6394,1.39,52,1.1,-0.75
2026-09-11T04:09:40.468208+00:00,2.59042,1098.53,108,36.47,63.53,0,5842.8,5.0555,54.1,11.1873,2128.38,36.92,37.92,560.984,7.692,10.63,1.37,75.54,24.46,0,5810.4,8.3823,53.8,17.0971,2651.7,40,51.5,2437.6,36.92,47.29,1.365,22.12,33.85,44.03,5810.4,2.9451,53.8,8.78184,1231.6,13.85,23.6,220.425,3.077,4.121,1.365,51.62,48.38,0,5810.4,7.0363,53.8,15.5442,2259.99,38.46,43.74,1318.49,13.85,25.15,1.365,18.91,23.61,57.48,5810.4,2.4352,53.8,7.11596,1040.14,18.46,19.95,197.366,4.615,3.721,1.365,26.75,49.1,24.15,5810.4,3.7085,53.8,8.28593,1473.26,21.54,28.25,301.816,6.154,5.671,1.365,16.23,83.77,0,5810.4,3.1612,53.8,6.26511,915.973,15.38,17.35,118.631,1.538,2.107,1.365,11.41,21.97,66.61,5810.4,1.5268,53.8,2.70788,445.177,6.154,8.374,274.934,7.692,5.034,1.365,29.375,29.302,39.84,22.0451,97.5,5.8737,65.665,64.895,10.218,12.211,29.157,26.625,58.513,17.02,20.9,1.73829,0.970444,9.75,2200,5750,0,10.6731,18,5883.43,7.56938,40,6.566,6.566,0,0,0,12.41,23.21,3200,37.4896,1.195,40.7522,1.372,52,1.1,-0.75
2026-09-11T04:09:41.486633+00:00,3.04453,1265.1,108,51.74,48.26,0,5907.6,6.4559,54.7,15.884,3034.17,37.5,49.2,809.973,12.7,15.62,1.395,77.89,22.11,0,5907.6,9.4248,54.7,21.1412,3324.29,57.81,64.48,1763.05,28.12,34.25,1.395,29.69,65.23,5.077,5907.6,4.6641,54.7,13.9703,1660.55,19.05,31.82,226.621,6.349,4.338,1.395,59.36,40.64,0,5907.6,7.7865,54.7,19.1812,1948.69,31.25,37.23,1940.73,28.12,37.29,1.395,21.39,65.37,13.24,5030.69,3.7184,46.5805,11.2353,1180.08,17.46,22.58,177.451,3.175,3.388,1.395,38.34,60.63,1.026,5907.6,5.6086,54.7,13.2504,2157.19,29.69,41.28,315.243,7.937,6.05,1.395,15.81,84.19,0,5907.6,3.4125,54.7,8.54104,851.092,14.06,15.93,171.714,3.125,3.07,1.395,10.21,89.79,0,5907.6,2.9055,54.7,5.88931,405.885,6.25,7.527,274.797,3.125,4.955,1.395,25.5,34.092,46.964,25.0037,91.5,5.8695,73.238,73.851,10.218,12.211,34.22,28.375,65.632,19.11,23.69,2.54258,1.72962,9.15,2200,5750,0,10.6923,17,5887.95,10.1087,57.81,7.324,7.324,0,0,0,14.56,26.32,3200,37.8243,1.195,40.8594,1.383,52,1.1,-0.75
2026-09-11T04:09:42.502582+00:00,1.93936,743.353,108,32.93,67.07,0,5907.6,4.6517,54.7,10.5772,1947.9,20.31,31.08,333.258,4.688,6.076,1.39,57.46,42.54,0,5907.6,7.6821,54.7,16.2342,2602.89,35.94,50.04,842.768,7.812,16.1,1.395,12.51,81.45,6.04,5030.69,2.9116,46.5805,8.36155,711.276,7.692,13.17,16.8811,0,0.294,1.395,58.21,41.79,0,5907.6,6.4608,54.7,13.7262,1786.25,23.44,34.14,1711.19,23.44,32.96,1.395,7.238,68.36,24.4,5030.69,2.0576,46.5805,6.17742,394.533,9.231,7.348,17.9098,0,0.3153,1.395,19.38,80.62,0,5907.6,3.6327,54.7,7.7251,1112.83,10.94,20.5,32.5703,0,0.6,1.395,3.804,96.2,0,5907.6,2.3151,54.7,4.98543,196.874,0,3.399,35.2667,0,0.3952,1.395,2.396,97.6,0,5907.6,2.1757,54.7,3.24079,80.5101,0,1.199,70.7367,0,0.9718,1.395,16,24.545,34.101,20.727,68.5,5.4451,59.198,59.394,9.8586,11.782,24.571,27.5,51.873,8.968,13.66,1.08277,0.593643,6.85,2200,5750,0,10.5256,16.25,5919.89,7.83055,35.94,5.92,5.92,0,0,0,10.46,21.82,3200,37.7181,1.195,40.6663,1.39,52,1.1,-0.75
