wall_time_utc,AvgActC,Avg_EClk,Bus_Clk,C0_C0res,C0_C1res,C0_C6res,C0_Clk,C0_P,C0_R,C0_T,C0_T0_EClk,C0_T0_U,C0_T0_Util,C0_T1_EClk,C0_T1_U,C0_T1_Util,C0_VID,C1_C0res,C1_C1res,C1_C6res,C1_Clk,C1_P,C1_R,C1_T,C1_T0_EClk,C1_T0_U,C1_T0_Util,C1_T1_EClk,C1_T1_U,C1_T1_Util,C1_VID,C2_C0res,C2_C1res,C2_C6res,C2_Clk,C2_P,C2_R,C2_T,C2_T0_EClk,C2_T0_U,C2_T0_Util,C2_T1_EClk,C2_T1_U,C2_T1_Util,C2_VID,C3_C0res,C3_C1res,C3_C6res,C3_Clk,C3_P,C3_R,C3_T,C3_T0_EClk,C3_T0_U,C3_T0_Util,C3_T1_EClk,C3_T1_U,C3_T1_Util,C3_VID,C4_C0res,C4_C1res,C4_C6res,C4_Clk,C4_P,C4_R,C4_T,C4_T0_EClk,C4_T0_U,C4_T0_Util,C4_T1_EClk,C4_T1_U,C4_T1_Util,C4_VID,C5_C0res,C5_C1res,C5_C6res,C5_Clk,C5_P,C5_R,C5_T,C5_T0_EClk,C5_T0_U,C5_T0_Util,C5_T1_EClk,C5_T1_U,C5_T1_Util,C5_VID,C6_C0res,C6_C1res,C6_C6res,C6_Clk,C6_P,C6_R,C6_T,C6_T0_EClk,C6_T0_U,C6_T0_Util,C6_T1_EClk,C6_T1_U,C6_T1_Util,C6_VID,C7_C0res,C7_C1res,C7_C6res,C7_Clk,C7_P,C7_R,C7_T,C7_T0_EClk,C7_T0_U,C7_T0_Util,C7_T1_EClk,C7_T1_U,C7_T1_Util,C7_VID,CCD1_Tdie,CPU_Core_I,CPU_Core_P,CPU_DieAvg,CPU_EDC,CPU_MISC_I,CPU_PPT,CPU_Pkg_P,CPU_SoC_I,CPU_SoC_P,CPU_TDC,CPU_Tctl,CPU_Tot_P,CPU_U,CPU_Util,DRAM_R_BW,DRAM_W_BW,EDC_Lim,FCLK,Freq_GLim,HTC_TT,IOD_Avg,IOD_Hot,L3_Clk,L3_T,MaxThr_U,PPT_F_Lim,PPT_Lim,PROCHOT_CPU,PROCHOT_EXT,Pkg_C6,TDC_Lim,T_Lim,UCLK,VDDCR_SOC_TVRM,VDDCR_SOC_V,VDDCR_VDD_TVRM,VDDCR_VDD_V,VDD_MISC_TVRM,VDD_MISC_V,coolant_c
2026-08-19T22:42:09.357216+00:00,1.26921,511.928,108,15.37,82.46,2.191,5049,2.4631,46.75,1.73848,872.121,14.06,15.91,124.889,1.562,2.413,1.4,38.35,59.82,1.892,5940,6.1315,55,10.0927,1754.35,29.69,34.29,696.35,10.94,13.39,1.4,7.207,30.18,62.61,5011.88,1.167,46.4062,0.19013,398.215,4.688,7.656,163.858,1.562,3.179,1.4,42.03,56.96,1.057,5011.88,3.3917,46.4062,3.16195,250.697,4.688,4.673,2340.47,42.19,45.86,1.4,6.417,11.64,81.94,5011.88,0.83701,46.4062,0,357.044,3.125,6.892,94.1266,1.538,1.821,1.4,8.975,38.32,52.71,5011.88,1.3659,46.4062,0,423.749,3.125,8.072,138.607,3.125,2.684,1.4,5.627,72.2,22.23,5940,1.4586,55,0,310.023,3.125,5.94,60.3564,1.562,1.042,1.4,2.942,20.22,76.83,5011.88,0.56034,46.4062,0,70.8969,1.562,1.309,135.089,1.562,2.595,1.4,12.125,15.435,20.977,18.4266,82,6.0653,47.142,47.484,9.894,11.824,15.483,30.125,39.776,8.006,9.857,1.39254,0.516873,8.2,2200,5750,0,6.01923,11.75,5722.09,1.4261,42.19,4.714,4.714,0,0,0.01909,6.588,19.4,3200,33.0351,1.195,35.4208,1.325,47,1.15,-5.125
2026-08-19T22:42:10.376186+00:00,0.972494,355.109,108,11.96,75.23,12.84,5021.16,1.8896,46.4922,0,651.022,9.375,12.61,18.107,0,0.3213,1.35,28.46,69.53,2.039,5842.8,4.6584,54.1,5.16782,1406.81,14.06,27.25,271.529,4.688,5.054,1.35,3.148,25.65,71.23,5842.8,0.64286,54.1,0,168.525,0,3.034,7.99088,0,0.1316,1.35,44.31,52.12,3.589,5842.8,3.3987,54.1,1.18564,253.271,3.125,4.704,2373.07,40.62,46.37,1.35,2.023,19.37,78.65,5842.8,0.43417,54.1,0,105.335,1.562,1.907,5.56947,0,0.08682,1.35,5.569,36.53,57.95,5842.8,0.96971,54.1,0,301.723,3.125,5.543,12.5086,0,0.2187,1.35,1.16,32.94,65.9,5842.8,0.56226,54.1,0,55.3794,0,0.9659,10.7275,0,0.1293,1.35,0.6153,58.43,40.98,5021.16,0.86292,46.4922,0,22.5701,0,0.3169,17.6013,0,0.2504,1.35,30.375,12.783,17.544,14.6354,58.5,6.0543,43.41,42.845,9.848,11.77,12.708,28.625,36.276,4.785,6.806,0.4708,0.166664,5.85,2200,5638.42,0,5.97436,11.75,5765.7,0.0455446,40.62,4.341,4.341,0,0,0.02204,5.408,15.41,3200,33.0099,1.195,35.3495,1.334,47,1.15,-5.125
2026-08-19T22:42:11.396598+00:00,1.64987,608.602,108,19.13,80.03,0.8384,5016.52,2.8709,46.4492,2.61407,1101.3,26.56,20.52,36.0438,0,0.6577,1.35,38.72,61.01,0.2694,5842.8,5.7736,54.1,10.8554,1841.88,29.69,35.84,467.713,12.5,8.888,1.355,6.184,52,41.81,5021.16,1.3189,46.4922,0.650377,328.867,9.375,6.102,11.0016,0,0.1838,1.355,82.95,17.05,0,5842.8,10.045,54.1,16.2704,2276.4,39.06,44.43,2648.47,45.31,51.88,1.355,4.179,32.01,63.81,5021.16,0.84412,46.4922,0,218.129,7.812,4.075,14.6594,0,0.2587,1.355,9.751,63.15,27.1,5021.16,1.8085,46.4922,1.02048,518.409,12.5,9.697,29.2661,0,0.5394,1.355,2.702,54.23,43.06,5021.16,1.0686,46.4922,0,140.003,4.688,2.549,20.623,0,0.2939,1.355,1.375,72.53,26.1,5842.8,1.0674,54.1,0,34.4424,0,0.5809,50.4278,0,0.835,1.355,33.75,21.882,29.877,22.9546,68.5,6.0598,55.933,56.093,9.854,11.777,21.911,29.375,48.623,11.72,11.71,0.916822,0.4162,6.85,2200,5750,0,5.9359,11.75,5879.12,2.79296,45.31,5.593,5.593,0,0,0,9.324,24.16,3200,33.0302,1.195,35.6322,1.363,47,1.15,-5.125
2026-08-19T22:42:12.415171+00:00,1.53821,561.871,108,11.8,80.9,7.307,5853.6,2.0777,54.2,1.12712,647.248,6.25,11.98,50.0935,0,0.9446,1.355,41.33,57.85,0.8207,5848.2,7.0191,54.15,14.4227,2184.54,37.5,42.73,243.391,3.125,4.645,1.355,2.317,21.43,76.25,5025.8,0.40091,46.5352,0,114.515,3.125,2.102,7.79627,0,0.1257,1.355,90.82,9.176,0,5848.2,11.134,54.15,19.0562,5294.78,89.06,103.9,40.2595,0,0.7427,1.355,1.558,8.634,89.81,5025.8,0.17999,46.5352,0,75.0187,1.562,1.371,5.41074,0,0.08343,1.355,4.1,55.23,40.67,5025.8,0.99321,46.5352,0.0880229,210.978,3.125,3.887,9.67751,0,0.1636,1.355,1.312,16.22,82.47,5025.8,0.27372,46.5352,0,57.9494,0,1.027,10.5248,0,0.1665,1.355,0.5883,40.47,58.94,5025.8,0.53857,46.5352,0,19.7095,0,0.3285,18.0457,0,0.2463,1.355,26,20.396,27.659,28.4403,58,6.0521,53.582,53.601,9.816,11.732,20.394,31,46.35,8.984,10.9,0.486937,0.21362,5.8,2200,5750,0,6.03205,11.25,5853.32,2.84736,89.06,5.358,5.358,0,0,0,8.678,29.94,3200,33.0299,1.195,35.6165,1.352,47,1.15,-5.125
2026-08-19T22:42:13.434648+00:00,1.52898,559.023,108,11.42,79.6,8.981,5030.44,1.9194,46.5781,0.963228,617.417,10.94,11.68,37.2076,0,0.693,1.355,82.51,16.81,0.6776,5030.44,13.995,46.5781,27.2715,4808.7,82.81,94.38,61.4287,3.125,1.141,1.355,3.032,35.19,61.77,5030.44,0.64756,46.5781,0,155.309,0,2.879,5.39624,0,0.08522,1.355,47.71,49.95,2.348,5853.6,4.175,54.2,6.79744,577.551,9.375,11.07,2241.92,39.06,43.91,1.355,1.507,7.305,91.19,5030.44,0.17895,46.5781,0,74.0152,3.125,1.354,4.23298,0,0.06391,1.355,5.092,60.57,34.34,5030.44,1.1743,46.5781,0,267.989,6.25,5.009,10.219,0,0.1785,1.355,1.032,21.89,77.08,5030.44,0.3219,46.5781,0,40.7159,0,0.7209,11.858,0,0.1875,1.355,0.5946,8.447,90.96,5030.44,0.14181,46.5781,0,20.5417,0,0.3498,9.86274,0,0.1399,1.355,25.125,20.22,27.385,29.762,55.5,6.059,53.287,53.291,9.7999,11.712,20.217,32.5,46.065,9.668,10.87,0.386246,0.153153,5.55,2200,5750,0,6.05128,12,5840.64,3.06476,82.81,5.329,5.329,0,0,0,8.603,31.33,3200,33.0151,1.195,35.6988,1.348,47,1.15,-5.125
2026-08-19T22:42:14.454526+00:00,1.9314,739.89,108,18.37,75.01,6.622,5848.2,2.5888,54.15,2.61588,1029.46,25,18.66,109.625,1.562,2.105,1.34,91.77,8.232,0,5848.2,15.117,54.15,29.7546,5233.56,92.19,102.8,254.602,4.688,4.932,1.35,7.922,40.7,51.38,5025.8,1.3248,46.5352,1.00987,435.007,6.25,8.341,144.436,3.125,2.81,1.35,51.03,48.21,0.7641,5025.8,4.2706,46.5352,7.76998,615.357,4.688,11.84,2477.71,40.62,48.53,1.35,6.457,19.58,73.96,5025.8,0.85747,46.5352,0,358.067,3.125,6.899,34.8447,0,0.6604,1.35,10.52,60.63,28.85,5025.8,1.7506,46.5352,0,532.476,6.25,10.15,158.675,3.125,3.082,1.35,5.111,42.3,52.59,5848.2,0.96576,54.15,0,276.004,1.562,5.288,42.391,0,0.7843,1.35,1.963,18.21,79.82,5025.8,0.41832,46.5352,0,64.7443,0,1.212,71.2797,1.587,1.336,1.35,32.75,23.819,32.226,30.8979,82.5,6.068,58.281,58.329,9.8457,11.767,23.826,33.125,50.971,12.11,14.34,1.38432,0.44166,8.25,2200,5750,0,6.19231,12.25,5846.61,3.73876,92.19,5.828,5.828,0,0,0,10.14,32.52,3200,33.0649,1.195,35.7023,1.349,47,1.15,-5.125
2026-08-19T22:42:15.473938+00:00,1.62206,591.146,108,11.35,80.59,8.057,5035.08,1.8855,46.6211,1.07309,610.587,9.375,11.93,37.3755,0,0.7034,1.36,96.69,3.313,0,5007.7,16.337,46.3676,32.6413,5645.01,96.88,110.9,25.7611,0,0.4622,1.36,2.558,26.39,71.05,5007.7,0.4461,46.3676,0,122.208,1.562,2.245,11.2517,0,0.1986,1.36,44.88,55.02,0.09831,5007.7,3.5717,46.3676,6.31407,244.97,1.562,4.653,2387.12,43.75,46.79,1.36,1.496,4.71,93.79,5007.7,0.12191,46.3676,0,72.9193,1.562,1.342,4.20316,0,0.06041,1.36,3.526,52.83,43.64,5007.7,0.86171,46.3676,0,174.937,3.125,3.2,12.1049,0,0.2103,1.36,1.361,97.92,0.7234,5880.6,1.275,54.45,0,83.0184,0,1.399,8.43472,0,0.1084,1.36,0.3416,1.004,98.65,5007.7,0.057369,46.3676,0,11.3638,0,0.1922,7.06872,0,0.1079,1.36,16.5,21.899,29.594,33.2025,62.5,6.0612,55.538,55.527,9.8164,11.732,21.912,33.75,48.297,9.863,11.53,0.333825,0.171715,6.25,2200,5750,0,6.26282,12.25,5862.58,3.60005,96.88,5.554,5.554,0,0,0,9.324,34.95,3200,33.0762,1.195,35.7382,1.352,47,1.15,-5.125
2026-08-19T22:42:16.493270+00:00,1.55366,568.393,108,12.17,79.45,8.38,5859,1.9456,54.25,0.862134,656.236,9.524,12.64,26.4851,1.587,0.483,1.355,42.61,57.39,0,5848.2,3.261,54.15,6.69173,2377.84,38.1,46.53,132.953,1.587,2.478,1.35,2.653,45.27,52.08,5025.8,0.78121,46.5352,0,142.865,3.175,2.588,9.51055,0,0.1629,1.35,89.85,10.15,0,5848.2,15.095,54.15,26.8141,119.072,0,2.28,5177.3,87.3,101.6,1.35,1.745,9.365,88.89,5848.2,0.19346,54.15,0,84.009,1.587,1.544,8.16459,0,0.1364,1.35,4.625,55.85,39.53,5025.8,1.0318,46.5352,1.15653,238.425,1.587,4.422,19.3886,0,0.3505,1.35,1.09,75.78,23.13,5848.2,0.98186,54.15,0,61.7297,0,1.013,7.89018,0,0.1025,1.35,0.6191,4.095,95.29,5025.8,0.096643,46.5352,0,20.194,0,0.3553,12.2324,0,0.1999,1.35,20.25,20.988,28.414,27.8274,64.5,6.0764,54.386,54.392,9.8582,11.782,20.964,33,47.184,9.028,11.06,0.50309,0.192152,6.45,2200,5750,0,6.26282,12.5,5863.9,2.64758,87.3,5.439,5.439,0,0,0,8.921,29.29,3200,33.0151,1.195,35.7669,1.353,47,1.15,-5.125
2026-08-19T22:42:17.512402+00:00,1.54657,565.742,108,11.54,78.33,10.14,5837.4,1.9707,54.05,0.982977,612.482,13.85,11.78,42.7028,0,0.8058,1.35,89.09,10.91,0,5842.8,15.046,54.1,29.3232,5183.01,87.69,101.7,88.4352,0,1.695,1.355,2.924,26.23,70.84,5021.16,0.52794,46.4922,0,141.6,1.538,2.633,12.902,0,0.2288,1.355,43.34,56.54,0.1146,5021.16,3.4003,46.4922,5.70601,784.771,12.31,15.23,1751.78,29.23,34.29,1.355,1.383,8.586,90.03,5021.16,0.17893,46.4922,0,65.2245,0,1.176,5.7301,0,0.0904,1.355,4.604,59.12,36.28,5021.16,1.0966,46.4922,0,236.15,0,4.386,12.6811,0,0.2207,1.355,1.375,98.63,0,5842.8,1.3495,54.1,0,81.5955,0,1.359,11.3195,0,0.1703,1.355,0.3957,2.084,97.52,5021.16,0.072875,46.4922,0,14.5338,0,0.2507,6.95169,0,0.1044,1.355,33.75,21.132,28.652,30.3864,56,6.0726,54.638,54.634,9.8472,11.769,21.136,33.5,47.404,9.038,11.01,0.389646,0.192896,5.6,2200,5750,0,6.09615,11.75,5874.42,3.16153,87.69,5.464,5.464,0,0,0,8.994,31.99,3200,33.0348,1.195,35.662,1.358,47,1.15,-5.125
2026-08-19T22:42:18.532500+00:00,1.58719,580.542,108,11.88,78.68,9.442,5837.4,1.9437,54.05,0.975802,656.927,9.375,12.53,40.2608,0,0.7515,1.35,71.39,28.61,0,5016.52,11.919,46.4492,23.9667,3953.78,68.25,77.58,237.212,3.175,4.52,1.35,2.868,32.37,64.76,5016.52,0.60419,46.4492,0,149.549,1.587,2.767,6.19037,0,0.09512,1.35,63.82,35.06,1.124,5837.4,6.873,54.05,11.7959,149.253,1.587,2.804,3612.75,62.5,70.87,1.35,1.987,10.6,87.41,5016.52,0.23306,46.4492,0,94.5014,0,1.745,10.4745,0,0.1785,1.35,4.976,55.1,39.92,5016.52,1.0765,46.4492,0,258.635,3.175,4.822,14.4529,0,0.2523,1.35,1.364,53.24,45.4,5016.52,0.75999,46.4492,0,65.7534,0,1.114,16.112,0,0.2626,1.35,0.4321,4.675,94.89,5016.52,0.099003,46.4492,0,12.999,0,0.2081,9.82918,0,0.1485,1.35,33.25,20.927,28.317,30.3203,55.5,6.0662,54.273,54.222,9.825,11.742,20.929,33.375,47.036,9.353,11.29,0.470032,0.248987,5.55,2200,5750,0,6.08333,11.75,5849.33,3.07761,68.25,5.427,5.427,0,0,0,8.906,31.92,3200,33.0702,1.195,35.7091,1.349,47,1.15,-5.125
